Date,Service,Direction,Langue,Record_count
21-03-2018,Chat,direct,fr,86
22-03-2018,Call,direct,fr,195
22-03-2018,Chat,direct,fr,45
23-03-2018,Chat,direct,fr,8
26-03-2018,Call,direct,fr,230
26-03-2018,Chat,direct,fr,76
26-03-2018,SMS,direct,fr,195
27-03-2018,Call,direct,fr,232
27-03-2018,Chat,direct,fr,72
28-03-2018,Call,direct,fr,178
28-03-2018,Chat,direct,fr,70
29-03-2018,Chat,direct,fr,4
02-04-2018,SMS,direct,fr,206
03-04-2018,Call,direct,fr,208
03-04-2018,Chat,direct,fr,56
04-04-2018,Call,direct,fr,204
04-04-2018,Chat,direct,fr,61
05-04-2018,Call,direct,fr,169
05-04-2018,Chat,direct,fr,70
06-04-2018,Chat,direct,fr,9
09-04-2018,Call,direct,fr,273
09-04-2018,Chat,direct,fr,74
09-04-2018,SMS,direct,fr,284
10-04-2018,Call,direct,fr,239
10-04-2018,Chat,direct,fr,89
11-04-2018,Call,direct,fr,207
11-04-2018,Chat,direct,fr,87
12-04-2018,Call,direct,fr,183
12-04-2018,Chat,direct,fr,82
13-04-2018,Chat,direct,fr,3
16-04-2018,Call,direct,fr,170
16-04-2018,Chat,direct,fr,75
16-04-2018,SMS,direct,fr,215
17-04-2018,Call,direct,fr,231
17-04-2018,Chat,direct,fr,84
18-04-2018,Call,direct,fr,210
18-04-2018,Chat,direct,fr,82
19-04-2018,Call,direct,fr,117
19-04-2018,Chat,direct,fr,77
20-04-2018,Chat,direct,fr,10
23-04-2018,Call,direct,fr,174
23-04-2018,Chat,direct,fr,41
23-04-2018,SMS,direct,fr,266
24-04-2018,Call,direct,fr,206
24-04-2018,Chat,direct,fr,67
25-04-2018,Call,direct,fr,197
25-04-2018,Chat,direct,fr,78
26-04-2018,Call,direct,fr,167
26-04-2018,Chat,direct,fr,51
27-04-2018,Chat,direct,fr,6
30-04-2018,Call,direct,fr,247
30-04-2018,Chat,direct,fr,121
30-04-2018,SMS,direct,fr,220
01-05-2018,Call,direct,fr,202
01-05-2018,Chat,direct,fr,58
02-05-2018,Call,direct,fr,246
02-05-2018,Chat,direct,fr,67
03-05-2018,Call,direct,fr,143
03-05-2018,Chat,direct,fr,71
04-05-2018,Chat,direct,fr,5
07-05-2018,Call,direct,fr,201
07-05-2018,Chat,direct,fr,99
07-05-2018,SMS,direct,fr,260
08-05-2018,Call,direct,fr,195
08-05-2018,Chat,direct,fr,80
09-05-2018,Call,direct,fr,194
09-05-2018,Chat,direct,fr,86
10-05-2018,Call,direct,fr,163
10-05-2018,Chat,direct,fr,37
11-05-2018,Chat,direct,fr,6
14-05-2018,Call,direct,fr,230
14-05-2018,Chat,direct,fr,48
14-05-2018,SMS,direct,fr,232
15-05-2018,Call,direct,fr,175
15-05-2018,Chat,direct,fr,75
16-05-2018,Call,direct,fr,182
16-05-2018,Chat,direct,fr,101
17-05-2018,Call,direct,fr,152
17-05-2018,Chat,direct,fr,53
18-05-2018,Chat,direct,fr,1
21-05-2018,SMS,direct,fr,264
22-05-2018,Call,direct,fr,188
22-05-2018,Chat,direct,fr,84
23-05-2018,Call,direct,fr,193
23-05-2018,Chat,direct,fr,59
24-05-2018,Call,direct,fr,162
24-05-2018,Chat,direct,fr,108
25-05-2018,Chat,direct,fr,12
28-05-2018,Call,direct,fr,211
28-05-2018,Chat,direct,fr,70
28-05-2018,SMS,direct,fr,189
29-05-2018,Call,direct,fr,198
29-05-2018,Chat,direct,fr,81
30-05-2018,Call,direct,fr,189
30-05-2018,Chat,direct,fr,84
31-05-2018,Call,direct,fr,151
31-05-2018,Chat,direct,fr,66
01-06-2018,Chat,direct,fr,3
04-06-2018,Call,direct,fr,216
04-06-2018,Chat,direct,fr,80
04-06-2018,SMS,direct,fr,301
05-06-2018,Call,direct,fr,177
05-06-2018,Chat,direct,fr,82
06-06-2018,Call,direct,fr,172
06-06-2018,Chat,direct,fr,69
07-06-2018,Call,direct,fr,163
07-06-2018,Chat,direct,fr,95
08-06-2018,Chat,direct,fr,5
11-06-2018,Call,direct,fr,240
11-06-2018,Chat,direct,fr,80
11-06-2018,SMS,direct,fr,396
12-06-2018,Call,direct,fr,255
12-06-2018,Chat,direct,fr,114
13-06-2018,Call,direct,fr,231
13-06-2018,Chat,direct,fr,98
14-06-2018,Call,direct,fr,145
14-06-2018,Chat,direct,fr,96
15-06-2018,Chat,direct,fr,18
18-06-2018,Call,direct,fr,130
18-06-2018,Chat,direct,fr,68
18-06-2018,SMS,direct,fr,114
19-06-2018,Call,direct,fr,84
19-06-2018,Chat,direct,fr,54
20-06-2018,Call,direct,fr,52
20-06-2018,Chat,direct,fr,32
21-06-2018,Call,direct,fr,7
21-06-2018,Chat,direct,fr,16
09-07-2018,Call,direct,fr,14
09-07-2018,Chat,direct,fr,12
09-07-2018,SMS,direct,fr,17
10-07-2018,Call,direct,fr,18
10-07-2018,Chat,direct,fr,8
11-07-2018,Call,direct,fr,18
11-07-2018,Chat,direct,fr,18
12-07-2018,Call,direct,fr,6
12-07-2018,Chat,direct,fr,8
13-07-2018,Chat,direct,fr,4
16-07-2018,Call,direct,fr,23
16-07-2018,Chat,direct,fr,12
16-07-2018,SMS,direct,fr,43
17-07-2018,Call,direct,fr,31
17-07-2018,Chat,direct,fr,12
18-07-2018,Call,direct,fr,24
18-07-2018,Chat,direct,fr,7
19-07-2018,Call,direct,fr,35
19-07-2018,Chat,direct,fr,5
20-07-2018,Chat,direct,fr,1
23-07-2018,Call,direct,fr,36
23-07-2018,Chat,direct,fr,15
23-07-2018,SMS,direct,fr,36
24-07-2018,Call,direct,fr,34
24-07-2018,Chat,direct,fr,11
25-07-2018,Call,direct,fr,38
25-07-2018,Chat,direct,fr,10
26-07-2018,Call,direct,fr,44
26-07-2018,Chat,direct,fr,3
27-07-2018,Call,direct,fr,2
30-07-2018,Call,direct,fr,48
30-07-2018,Chat,direct,fr,8
30-07-2018,SMS,direct,fr,21
31-07-2018,Call,direct,fr,22
31-07-2018,Chat,direct,fr,5
01-08-2018,Chat,direct,fr,2
01-08-2018,Call,direct,fr,16
02-08-2018,Chat,direct,fr,2
02-08-2018,Call,direct,fr,18
03-09-2018,SMS,direct,fr,327
04-09-2018,Chat,direct,fr,101
04-09-2018,Call,direct,fr,224
05-09-2018,Chat,direct,fr,99
05-09-2018,Call,direct,fr,225
06-09-2018,Chat,direct,fr,106
06-09-2018,Call,direct,fr,229
07-09-2018,Chat,direct,fr,4
10-09-2018,Chat,direct,fr,100
10-09-2018,Call,direct,fr,285
10-09-2018,SMS,direct,fr,299
11-09-2018,Chat,direct,fr,80
11-09-2018,Call,direct,fr,274
12-09-2018,Chat,direct,fr,97
12-09-2018,Call,direct,fr,260
13-09-2018,Chat,direct,fr,93
13-09-2018,Call,direct,fr,199
14-09-2018,Chat,direct,fr,4
17-09-2018,Chat,direct,fr,87
17-09-2018,Call,direct,fr,298
